round,scenario,cpu_mean,cpu_max,unit
round_01,scenario_1,137.481875,255.11,percent
round_01,scenario_2,124.66520833333334,248.36,percent
round_01,scenario_3,121.25770833333333,268.03,percent
round_01,scenario_4,130.820625,266.35,percent
round_01,scenario_5_k8s_baseline,508.6794871794872,998.0,millicores
round_01,scenario_5_mesh,269.6524390243902,1002.0,millicores
round_02,scenario_1,111.06300000000002,257.57,percent
round_02,scenario_2,123.80439999999999,253.42,percent
round_02,scenario_3,123.32916666666665,219.84,percent
round_02,scenario_4,125.4974,289.02,percent
round_02,scenario_5_k8s_baseline,512.5897435897435,1000.0,millicores
round_02,scenario_5_mesh,288.36842105263156,1000.0,millicores
round_03,scenario_1,116.57100000000003,255.38,percent
round_03,scenario_2,120.37019999999998,256.8,percent
round_03,scenario_3,113.07620000000001,251.06,percent
round_03,scenario_4,121.2342,281.95,percent
round_03,scenario_5_k8s_baseline,519.2051282051282,1000.0,millicores
round_03,scenario_5_mesh,300.03846153846155,1000.0,millicores
