timestamp,pod,container,cpu_millicores,mem_mib
2026-09-07T13:06:08-03:00,service-a-755c99ff84-mldsx,istio-proxy,27,30
2026-09-07T13:06:08-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:08-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,2,28
2026-09-07T13:06:08-03:00,service-b-84f46cb7b9-6m79j,service-b,100,95
2026-09-07T13:06:11-03:00,service-a-755c99ff84-mldsx,istio-proxy,27,30
2026-09-07T13:06:11-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:11-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,2,28
2026-09-07T13:06:11-03:00,service-b-84f46cb7b9-6m79j,service-b,100,95
2026-09-07T13:06:14-03:00,service-a-755c99ff84-mldsx,istio-proxy,27,30
2026-09-07T13:06:14-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:14-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,2,28
2026-09-07T13:06:14-03:00,service-b-84f46cb7b9-6m79j,service-b,100,95
2026-09-07T13:06:17-03:00,service-a-755c99ff84-mldsx,istio-proxy,27,30
2026-09-07T13:06:17-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:17-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,2,28
2026-09-07T13:06:17-03:00,service-b-84f46cb7b9-6m79j,service-b,100,95
2026-09-07T13:06:20-03:00,service-a-755c99ff84-mldsx,istio-proxy,27,30
2026-09-07T13:06:20-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:20-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,2,28
2026-09-07T13:06:20-03:00,service-b-84f46cb7b9-6m79j,service-b,100,95
2026-09-07T13:06:23-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,30
2026-09-07T13:06:23-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:23-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,101,31
2026-09-07T13:06:23-03:00,service-b-84f46cb7b9-6m79j,service-b,125,98
2026-09-07T13:06:26-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,30
2026-09-07T13:06:26-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:26-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,101,31
2026-09-07T13:06:26-03:00,service-b-84f46cb7b9-6m79j,service-b,125,98
2026-09-07T13:06:29-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,30
2026-09-07T13:06:29-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:29-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,101,31
2026-09-07T13:06:29-03:00,service-b-84f46cb7b9-6m79j,service-b,125,98
2026-09-07T13:06:32-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,30
2026-09-07T13:06:32-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:32-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,101,31
2026-09-07T13:06:32-03:00,service-b-84f46cb7b9-6m79j,service-b,125,98
2026-09-07T13:06:35-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,30
2026-09-07T13:06:35-03:00,service-a-755c99ff84-mldsx,service-a,345,117
2026-09-07T13:06:35-03:00,service-b-84f46cb7b9-6m79j,istio-proxy,101,31
2026-09-07T13:06:35-03:00,service-b-84f46cb7b9-6m79j,service-b,125,98
2026-09-07T13:06:38-03:00,service-a-755c99ff84-mldsx,istio-proxy,88,29
