timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-07T12:44:48-03:00,scenario_4-service_a-1,26.27%,110MiB,19.44GiB,0.55%
2026-09-07T12:44:48-03:00,scenario_4-service_b-1,21.12%,101.9MiB,19.44GiB,0.51%
2026-09-07T12:44:53-03:00,scenario_4-service_a-1,92.67%,110.4MiB,19.44GiB,0.55%
2026-09-07T12:44:53-03:00,scenario_4-service_b-1,45.52%,101.7MiB,19.44GiB,0.51%
2026-09-07T12:44:58-03:00,scenario_4-service_a-1,140.23%,111.2MiB,19.44GiB,0.56%
2026-09-07T12:44:58-03:00,scenario_4-service_b-1,58.60%,102.7MiB,19.44GiB,0.52%
2026-09-07T12:45:03-03:00,scenario_4-service_a-1,260.30%,123.6MiB,19.44GiB,0.62%
2026-09-07T12:45:03-03:00,scenario_4-service_b-1,85.82%,102.7MiB,19.44GiB,0.52%
2026-09-07T12:45:08-03:00,scenario_4-service_a-1,172.57%,115.6MiB,19.44GiB,0.58%
2026-09-07T12:45:08-03:00,scenario_4-service_b-1,119.15%,105.2MiB,19.44GiB,0.53%
2026-09-07T12:45:14-03:00,scenario_4-service_a-1,141.43%,115.3MiB,19.44GiB,0.58%
2026-09-07T12:45:14-03:00,scenario_4-service_b-1,60.00%,105.6MiB,19.44GiB,0.53%
2026-09-07T12:45:19-03:00,scenario_4-service_a-1,281.95%,117.4MiB,19.44GiB,0.59%
2026-09-07T12:45:19-03:00,scenario_4-service_b-1,58.50%,105.4MiB,19.44GiB,0.53%
2026-09-07T12:45:24-03:00,scenario_4-service_a-1,187.69%,116.9MiB,19.44GiB,0.59%
2026-09-07T12:45:24-03:00,scenario_4-service_b-1,73.81%,105.2MiB,19.44GiB,0.53%
2026-09-07T12:45:29-03:00,scenario_4-service_a-1,154.82%,118.3MiB,19.44GiB,0.59%
2026-09-07T12:45:29-03:00,scenario_4-service_b-1,85.55%,105.2MiB,19.44GiB,0.53%
2026-09-07T12:45:34-03:00,scenario_4-service_a-1,244.04%,116.7MiB,19.44GiB,0.59%
2026-09-07T12:45:34-03:00,scenario_4-service_b-1,86.47%,104.9MiB,19.44GiB,0.53%
2026-09-07T12:45:39-03:00,scenario_4-service_a-1,139.15%,117.2MiB,19.44GiB,0.59%
2026-09-07T12:45:39-03:00,scenario_4-service_b-1,91.35%,105.5MiB,19.44GiB,0.53%
2026-09-07T12:45:45-03:00,scenario_4-service_a-1,181.96%,116.5MiB,19.44GiB,0.59%
2026-09-07T12:45:45-03:00,scenario_4-service_b-1,97.91%,105.8MiB,19.44GiB,0.53%
2026-09-07T12:45:50-03:00,scenario_4-service_a-1,206.70%,116.6MiB,19.44GiB,0.59%
2026-09-07T12:45:50-03:00,scenario_4-service_b-1,71.43%,105.8MiB,19.44GiB,0.53%
2026-09-07T12:45:55-03:00,scenario_4-service_a-1,182.72%,116.9MiB,19.44GiB,0.59%
2026-09-07T12:45:55-03:00,scenario_4-service_b-1,73.43%,105.5MiB,19.44GiB,0.53%
2026-09-07T12:46:00-03:00,scenario_4-service_a-1,223.34%,116.8MiB,19.44GiB,0.59%
2026-09-07T12:46:00-03:00,scenario_4-service_b-1,95.47%,105MiB,19.44GiB,0.53%
2026-09-07T12:46:05-03:00,scenario_4-service_a-1,159.48%,116.8MiB,19.44GiB,0.59%
2026-09-07T12:46:05-03:00,scenario_4-service_b-1,86.53%,105.3MiB,19.44GiB,0.53%
2026-09-07T12:46:11-03:00,scenario_4-service_a-1,138.07%,116.4MiB,19.44GiB,0.58%
2026-09-07T12:46:11-03:00,scenario_4-service_b-1,76.55%,106.8MiB,19.44GiB,0.54%
2026-09-07T12:46:16-03:00,scenario_4-service_a-1,147.38%,117.2MiB,19.44GiB,0.59%
2026-09-07T12:46:16-03:00,scenario_4-service_b-1,82.67%,107.2MiB,19.44GiB,0.54%
2026-09-07T12:46:21-03:00,scenario_4-service_a-1,214.35%,117.3MiB,19.44GiB,0.59%
2026-09-07T12:46:21-03:00,scenario_4-service_b-1,84.20%,106.3MiB,19.44GiB,0.53%
2026-09-07T12:46:26-03:00,scenario_4-service_a-1,148.73%,126.1MiB,19.44GiB,0.63%
2026-09-07T12:46:26-03:00,scenario_4-service_b-1,98.37%,114.1MiB,19.44GiB,0.57%
2026-09-07T12:46:31-03:00,scenario_4-service_a-1,160.44%,126.7MiB,19.44GiB,0.64%
2026-09-07T12:46:31-03:00,scenario_4-service_b-1,68.94%,106.9MiB,19.44GiB,0.54%
2026-09-07T12:46:36-03:00,scenario_4-service_a-1,250.12%,126.4MiB,19.44GiB,0.63%
2026-09-07T12:46:36-03:00,scenario_4-service_b-1,58.98%,106.9MiB,19.44GiB,0.54%
2026-09-07T12:46:42-03:00,scenario_4-service_a-1,252.84%,117MiB,19.44GiB,0.59%
2026-09-07T12:46:42-03:00,scenario_4-service_b-1,89.63%,107.6MiB,19.44GiB,0.54%
2026-09-07T12:46:47-03:00,scenario_4-service_a-1,66.03%,115.9MiB,19.44GiB,0.58%
2026-09-07T12:46:47-03:00,scenario_4-service_b-1,106.14%,107.2MiB,19.44GiB,0.54%
2026-09-07T12:46:52-03:00,scenario_4-service_a-1,12.23%,115.9MiB,19.44GiB,0.58%
2026-09-07T12:46:52-03:00,scenario_4-service_b-1,0.06%,106MiB,19.44GiB,0.53%
