timestamp,pod,container,cpu_millicores,mem_mib
2026-09-07T13:14:28-03:00,service-a-755c99ff84-c29wv,service-a,130,116
2026-09-07T13:14:28-03:00,service-b-84f46cb7b9-gr5mm,service-b,34,98
2026-09-07T13:14:31-03:00,service-a-755c99ff84-c29wv,service-a,130,116
2026-09-07T13:14:31-03:00,service-b-84f46cb7b9-gr5mm,service-b,34,98
2026-09-07T13:14:34-03:00,service-a-755c99ff84-c29wv,service-a,130,116
2026-09-07T13:14:34-03:00,service-b-84f46cb7b9-gr5mm,service-b,34,98
2026-09-07T13:14:37-03:00,service-a-755c99ff84-c29wv,service-a,130,116
2026-09-07T13:14:37-03:00,service-b-84f46cb7b9-gr5mm,service-b,34,98
2026-09-07T13:14:40-03:00,service-a-755c99ff84-c29wv,service-a,130,116
2026-09-07T13:14:40-03:00,service-b-84f46cb7b9-gr5mm,service-b,34,98
2026-09-07T13:14:43-03:00,service-a-755c99ff84-c29wv,service-a,994,119
2026-09-07T13:14:44-03:00,service-b-84f46cb7b9-gr5mm,service-b,172,99
2026-09-07T13:14:47-03:00,service-a-755c99ff84-c29wv,service-a,994,119
2026-09-07T13:14:47-03:00,service-b-84f46cb7b9-gr5mm,service-b,172,99
2026-09-07T13:14:50-03:00,service-a-755c99ff84-c29wv,service-a,994,119
2026-09-07T13:14:50-03:00,service-b-84f46cb7b9-gr5mm,service-b,172,99
2026-09-07T13:14:53-03:00,service-a-755c99ff84-c29wv,service-a,994,119
2026-09-07T13:14:53-03:00,service-b-84f46cb7b9-gr5mm,service-b,172,99
2026-09-07T13:14:56-03:00,service-a-755c99ff84-c29wv,service-a,994,119
2026-09-07T13:14:56-03:00,service-b-84f46cb7b9-gr5mm,service-b,172,99
2026-09-07T13:14:59-03:00,service-a-755c99ff84-c29wv,service-a,998,119
2026-09-07T13:14:59-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,98
2026-09-07T13:15:02-03:00,service-a-755c99ff84-c29wv,service-a,998,119
2026-09-07T13:15:02-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,98
2026-09-07T13:15:05-03:00,service-a-755c99ff84-c29wv,service-a,998,119
2026-09-07T13:15:05-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,98
2026-09-07T13:15:08-03:00,service-a-755c99ff84-c29wv,service-a,998,119
2026-09-07T13:15:08-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,98
2026-09-07T13:15:11-03:00,service-a-755c99ff84-c29wv,service-a,998,119
2026-09-07T13:15:11-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,98
2026-09-07T13:15:14-03:00,service-a-755c99ff84-c29wv,service-a,998,122
2026-09-07T13:15:14-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,100
2026-09-07T13:15:17-03:00,service-a-755c99ff84-c29wv,service-a,998,122
2026-09-07T13:15:17-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,100
2026-09-07T13:15:20-03:00,service-a-755c99ff84-c29wv,service-a,998,122
2026-09-07T13:15:20-03:00,service-b-84f46cb7b9-gr5mm,service-b,169,100
2026-09-07T13:15:23-03:00,service-a-755c99ff84-c29wv,service-a,998,122
