round,position,scenario,started_at
1,1,scenario_1,2026-09-07T12:22:02-03:00
1,2,scenario_2,2026-09-07T12:24:31-03:00
1,3,scenario_3,2026-09-07T12:27:00-03:00
1,4,scenario_4,2026-09-07T12:29:28-03:00
2,1,scenario_3,2026-09-07T12:31:56-03:00
2,2,scenario_2,2026-09-07T12:34:24-03:00
2,3,scenario_1,2026-09-07T12:36:56-03:00
2,4,scenario_4,2026-09-07T12:39:28-03:00
3,1,scenario_2,2026-09-07T12:41:58-03:00
3,2,scenario_4,2026-09-07T12:44:30-03:00
3,3,scenario_3,2026-09-07T12:47:01-03:00
3,4,scenario_1,2026-09-07T12:49:32-03:00
