reference,target,metric,n_reference,n_target,median_reference,median_target,median_diff_percent,mean_diff_percent,mann_whitney_u,p_value
scenario_1,scenario_2,throughput_rps,10,10,396.62505523656876,185.91957890699405,-53.124600563597404,-53.287297715748515,0.0,0.00018267179110955002
scenario_1,scenario_2,latency_mean_ms,10,10,202.69907481825686,775.728558155505,282.69960474710365,284.58990161583586,100.0,0.00018267179110955002
scenario_1,scenario_2,latency_p50_ms,10,10,185.0,765.0,313.5135135135135,309.1891891891892,100.0,0.00013743349745065116
scenario_1,scenario_2,latency_p95_ms,10,10,365.0,1100.0,201.36986301369865,212.8342245989305,100.0,0.00012776528630733722
scenario_1,scenario_3,throughput_rps,10,10,396.62505523656876,363.85720221135574,-8.261669955688621,-8.20560451852026,0.0,0.00018267179110955002
scenario_1,scenario_3,latency_mean_ms,10,10,202.69907481825686,249.0408142512756,22.862333967024504,22.657558164625,100.0,0.00018267179110955002
scenario_1,scenario_3,latency_p50_ms,10,10,185.0,240.0,29.729729729729737,28.648648648648646,100.0,8.454414426286906e-05
scenario_1,scenario_3,latency_p95_ms,10,10,365.0,420.0,15.068493150684926,16.310160427807485,100.0,0.00014763850375246
scenario_1,scenario_4,throughput_rps,10,10,396.62505523656876,178.09489610577396,-55.09741662700848,-55.181127592011606,0.0,0.00018267179110955002
scenario_1,scenario_4,latency_mean_ms,10,10,202.69907481825686,822.7669026367913,305.90560335536657,307.4552842133997,100.0,0.00018267179110955002
scenario_1,scenario_4,latency_p50_ms,10,10,185.0,805.0,335.13513513513516,332.97297297297297,100.0,0.00014077465089962942
scenario_1,scenario_4,latency_p95_ms,10,10,365.0,1200.0,228.7671232876712,220.85561497326202,100.0,0.00013743349745065116
scenario_5_k8s_baseline,scenario_5_mesh,throughput_rps,10,10,393.1656096423783,187.6508063035297,-52.27181581974678,-52.54091465598717,0.0,0.00018267179110955002
scenario_5_k8s_baseline,scenario_5_mesh,latency_mean_ms,10,10,207.74266998423838,764.1666768993308,267.8429072646986,271.0529783700525,100.0,0.00018267179110955002
scenario_5_k8s_baseline,scenario_5_mesh,latency_p50_ms,10,10,210.0,765.0,264.2857142857143,278.2178217821782,100.0,0.00014589964277689183
scenario_5_k8s_baseline,scenario_5_mesh,latency_p95_ms,10,10,310.0,1100.0,254.83870967741936,230.95975232198143,100.0,0.00016780051625813787
scenario_1,scenario_5_k8s_baseline,throughput_rps,10,10,396.62505523656876,393.1656096423783,-0.8722206397493104,-1.0598615271172118,21.0,0.031209012771740218
scenario_1,scenario_5_k8s_baseline,latency_mean_ms,10,10,202.69907481825686,207.74266998423838,2.4882181482592802,2.939627665818967,80.0,0.025748080821108063
scenario_1,scenario_5_k8s_baseline,latency_p50_ms,10,10,185.0,210.0,13.513513513513509,9.189189189189184,85.0,0.006425782407573213
scenario_1,scenario_5_k8s_baseline,latency_p95_ms,10,10,365.0,310.0,-15.068493150684937,-13.636363636363635,15.5,0.009169610348047898
scenario_2,scenario_5_mesh,throughput_rps,10,10,185.91957890699405,187.6508063035297,0.9311700288443969,0.5210198964671786,82.0,0.017257456083119765
scenario_2,scenario_5_mesh,latency_mean_ms,10,10,775.728558155505,764.1666768993308,-1.4904545068787356,-0.6836755795524008,19.0,0.0211339281291611
scenario_2,scenario_5_mesh,latency_p50_ms,10,10,765.0,765.0,0.0,0.9247027741083214,55.5,0.7016915527767031
scenario_2,scenario_5_mesh,latency_p95_ms,10,10,1100.0,1100.0,0.0,-8.632478632478636,27.5,0.07495495665648877
scenario_4,scenario_5_mesh,throughput_rps,10,10,178.09489610577396,187.6508063035297,5.365628328888383,4.7685544827776205,99.0,0.00024612812790522973
scenario_4,scenario_5_mesh,latency_mean_ms,10,10,822.7669026367913,764.1666768993308,-7.122336295937448,-6.2570620198370674,0.0,0.00018267179110955002
scenario_4,scenario_5_mesh,latency_p50_ms,10,10,805.0,765.0,-4.968944099378881,-4.619225967540574,26.0,0.07357304598762372
scenario_4,scenario_5_mesh,latency_p95_ms,10,10,1200.0,1100.0,-8.333333333333337,-10.916666666666664,20.0,0.020812715081742927
