round,scenario,host_cpu_busy_mean,host_cpu_busy_max,cpu_mhz_mean,temp_max_c
round_01,scenario_1,24.82388059701493,29.1,3557.089552238806,82.0
round_01,scenario_2,20.764179104477616,24.7,3546.731343283582,81.0
round_01,scenario_3,23.48382352941177,26.5,3513.970588235294,84.0
round_01,scenario_4,19.16176470588235,22.5,3385.073529411765,81.0
round_01,scenario_5_k8s_baseline,24.903030303030302,28.1,3667.4545454545455,80.0
round_01,scenario_5_mesh,23.883582089552235,31.5,3739.9850746268658,79.0
round_02,scenario_1,24.39852941176471,28.9,3492.3529411764707,82.0
round_02,scenario_2,20.236764705882354,24.2,3412.8529411764707,84.0
round_02,scenario_3,23.339705882352945,27.3,3461.029411764706,81.0
round_02,scenario_4,19.645588235294124,24.8,3457.573529411765,78.0
round_02,scenario_5_k8s_baseline,24.798484848484847,29.4,3672.060606060606,79.0
round_02,scenario_5_mesh,23.038235294117644,30.4,3728.514705882353,80.0
round_03,scenario_1,24.507352941176475,29.2,3501.294117647059,85.0
round_03,scenario_2,20.356716417910445,23.7,3427.805970149254,83.0
round_03,scenario_3,23.348529411764705,26.7,3442.529411764706,81.0
round_03,scenario_4,19.216176470588238,22.5,3399.3088235294117,79.0
round_03,scenario_5_k8s_baseline,24.213235294117652,28.8,3716.6617647058824,79.0
round_03,scenario_5_mesh,23.720895522388062,32.6,3688.4626865671644,82.0
round_04,scenario_1,24.42058823529412,28.6,3403.3088235294117,84.0
round_04,scenario_2,20.02352941176471,23.5,3501.3088235294117,81.0
round_04,scenario_3,23.269117647058824,26.4,3350.735294117647,81.0
round_04,scenario_4,19.28529411764706,22.7,3506.8823529411766,77.0
round_04,scenario_5_k8s_baseline,24.633333333333333,28.3,3751.848484848485,82.0
round_04,scenario_5_mesh,23.675757575757576,30.7,3722.1363636363635,81.0
round_05,scenario_1,24.530882352941177,28.2,3396.3382352941176,84.0
round_05,scenario_2,20.516176470588235,25.6,3405.705882352941,83.0
round_05,scenario_3,23.79402985074627,27.5,3525.179104477612,80.0
round_05,scenario_4,19.27352941176471,22.6,3434.8823529411766,80.0
round_05,scenario_5_k8s_baseline,24.484848484848488,29.0,3732.712121212121,77.0
round_05,scenario_5_mesh,23.64090909090909,30.3,3748.0454545454545,80.0
round_06,scenario_1,24.886764705882353,39.0,3342.0882352941176,83.0
round_06,scenario_2,20.042647058823526,23.0,3560.8970588235293,81.0
round_06,scenario_3,23.226470588235294,27.1,3457.0,78.0
round_06,scenario_4,19.629411764705882,25.7,3404.426470588235,80.0
round_06,scenario_5_k8s_baseline,24.025000000000002,28.5,3727.029411764706,78.0
round_06,scenario_5_mesh,25.767164179104476,40.0,3551.507462686567,87.0
round_07,scenario_1,24.802985074626864,29.3,3430.5223880597014,85.0
round_07,scenario_2,20.05147058823529,23.3,3520.6470588235293,82.0
round_07,scenario_3,23.317647058823532,27.1,3518.9117647058824,82.0
round_07,scenario_4,19.283823529411762,22.5,3521.0,78.0
round_07,scenario_5_k8s_baseline,24.079411764705878,28.4,3724.985294117647,77.0
round_07,scenario_5_mesh,23.689393939393938,31.1,3734.3939393939395,81.0
round_08,scenario_1,24.89701492537313,29.0,3451.4328358208954,81.0
round_08,scenario_2,20.111764705882354,23.7,3459.3676470588234,79.0
round_08,scenario_3,23.24117647058824,27.1,3432.279411764706,84.0
round_08,scenario_4,19.23382352941176,23.0,3436.1617647058824,77.0
round_08,scenario_5_k8s_baseline,24.63939393939394,28.6,3714.8030303030305,77.0
round_08,scenario_5_mesh,23.76865671641791,31.0,3692.9253731343283,80.0
round_09,scenario_1,24.74264705882353,28.2,3468.029411764706,85.0
round_09,scenario_2,20.138235294117653,23.2,3507.25,77.0
round_09,scenario_3,23.404411764705884,28.1,3441.529411764706,79.0
round_09,scenario_4,19.158823529411762,22.3,3457.8970588235293,80.0
round_09,scenario_5_k8s_baseline,25.12424242424242,31.2,3704.378787878788,81.0
round_09,scenario_5_mesh,23.816666666666666,31.9,3724.348484848485,80.0
round_10,scenario_1,24.932835820895523,28.3,3476.3432835820895,84.0
round_10,scenario_2,20.349253731343286,23.3,3466.9850746268658,84.0
round_10,scenario_3,23.242647058823525,26.6,3462.764705882353,82.0
round_10,scenario_4,19.511940298507458,22.1,3482.3582089552237,75.0
round_10,scenario_5_k8s_baseline,23.79705882352941,27.9,3714.426470588235,77.0
round_10,scenario_5_mesh,23.74242424242425,30.9,3736.560606060606,78.0
