round,scenario,role,mem_mib_median,mem_mib_max
round_01,scenario_1,checkout_app,115.3,127.8
round_01,scenario_1,inventory_app,104.7,116.3
round_01,scenario_2,checkout_app,125.1,138.1
round_01,scenario_2,inventory_app,109.8,119.4
round_01,scenario_3,checkout_app,117.8,130.6
round_01,scenario_3,inventory_app,108.3,113.2
round_01,scenario_4,checkout_app,127.4,140.4
round_01,scenario_4,inventory_app,115.2,123.4
round_01,scenario_5_k8s_baseline,checkout_app,123.0,123.0
round_01,scenario_5_k8s_baseline,inventory_app,104.0,105.0
round_01,scenario_5_mesh,checkout_sidecar,43.0,43.0
round_01,scenario_5_mesh,checkout_app,124.0,125.0
round_01,scenario_5_mesh,inventory_sidecar,32.0,32.0
round_01,scenario_5_mesh,inventory_app,101.0,102.0
round_02,scenario_1,checkout_app,115.6,128.5
round_02,scenario_1,inventory_app,104.2,114.2
round_02,scenario_2,checkout_app,125.3,138.5
round_02,scenario_2,inventory_app,112.8,122.1
round_02,scenario_3,checkout_app,118.5,131.2
round_02,scenario_3,inventory_app,106.2,115.3
round_02,scenario_4,checkout_app,130.4,140.7
round_02,scenario_4,inventory_app,113.5,114.0
round_02,scenario_5_k8s_baseline,checkout_app,123.0,123.0
round_02,scenario_5_k8s_baseline,inventory_app,106.0,107.0
round_02,scenario_5_mesh,checkout_sidecar,43.0,44.0
round_02,scenario_5_mesh,checkout_app,124.0,125.0
round_02,scenario_5_mesh,inventory_sidecar,32.0,32.0
round_02,scenario_5_mesh,inventory_app,100.0,102.0
round_03,scenario_1,checkout_app,115.5,128.5
round_03,scenario_1,inventory_app,102.3,117.3
round_03,scenario_2,checkout_app,125.0,138.3
round_03,scenario_2,inventory_app,112.3,128.0
round_03,scenario_3,checkout_app,118.1,131.4
round_03,scenario_3,inventory_app,108.0,109.9
round_03,scenario_4,checkout_app,127.8,140.7
round_03,scenario_4,inventory_app,117.0,124.5
round_03,scenario_5_k8s_baseline,checkout_app,123.0,123.0
round_03,scenario_5_k8s_baseline,inventory_app,104.0,105.0
round_03,scenario_5_mesh,checkout_sidecar,43.0,44.0
round_03,scenario_5_mesh,checkout_app,124.0,124.0
round_03,scenario_5_mesh,inventory_sidecar,31.0,32.0
round_03,scenario_5_mesh,inventory_app,100.0,103.0
round_04,scenario_1,checkout_app,115.6,128.3
round_04,scenario_1,inventory_app,100.9,109.8
round_04,scenario_2,checkout_app,125.9,138.2
round_04,scenario_2,inventory_app,111.6,125.5
round_04,scenario_3,checkout_app,117.6,131.0
round_04,scenario_3,inventory_app,106.7,110.8
round_04,scenario_4,checkout_app,127.4,140.3
round_04,scenario_4,inventory_app,115.4,122.2
round_04,scenario_5_k8s_baseline,checkout_app,122.0,123.0
round_04,scenario_5_k8s_baseline,inventory_app,104.0,106.0
round_04,scenario_5_mesh,checkout_sidecar,42.0,44.0
round_04,scenario_5_mesh,checkout_app,124.0,124.0
round_04,scenario_5_mesh,inventory_sidecar,31.0,32.0
