round,scenario,cpu_mean,cpu_max,unit
round_01,scenario_1,70.60240740740741,103.15,percent
round_01,scenario_2,62.28907407407409,102.11,percent
round_01,scenario_3,65.09037037037037,102.35,percent
round_01,scenario_4,60.829629629629636,103.12,percent
round_01,scenario_5_k8s_baseline,620.3571428571429,999.0,millicores
round_01,scenario_5_mesh,350.6931818181818,1047.0,millicores
round_02,scenario_1,69.13981481481481,101.91,percent
round_02,scenario_2,61.79240740740741,102.45,percent
round_02,scenario_3,65.62703703703704,102.95,percent
round_02,scenario_4,60.162962962962965,101.36,percent
round_02,scenario_5_k8s_baseline,621.4204545454545,998.0,millicores
round_02,scenario_5_mesh,349.06111111111113,1000.0,millicores
round_03,scenario_1,68.41574074074073,102.3,percent
round_03,scenario_2,63.87648148148149,103.61,percent
round_03,scenario_3,65.15203703703703,101.49,percent
round_03,scenario_4,60.90592592592592,101.97,percent
round_03,scenario_5_k8s_baseline,627.9318181818181,1000.0,millicores
round_03,scenario_5_mesh,350.15340909090907,999.0,millicores
round_04,scenario_1,67.28388888888888,101.64,percent
round_04,scenario_2,64.16462962962964,102.66,percent
round_04,scenario_3,64.81574074074075,101.16,percent
round_04,scenario_4,60.49333333333333,103.01,percent
round_04,scenario_5_k8s_baseline,627.7045454545455,998.0,millicores
round_04,scenario_5_mesh,343.97159090909093,1002.0,millicores
round_05,scenario_1,65.7575925925926,103.59,percent
round_05,scenario_2,62.65203703703704,101.75,percent
round_05,scenario_3,65.83518518518518,102.58,percent
round_05,scenario_4,60.70629629629629,101.56,percent
round_05,scenario_5_k8s_baseline,611.4418604651163,997.0,millicores
round_05,scenario_5_mesh,346.02906976744185,1001.0,millicores
round_06,scenario_1,69.24611111111109,102.15,percent
round_06,scenario_2,62.02092592592593,102.47,percent
round_06,scenario_3,65.25407407407408,101.93,percent
round_06,scenario_4,60.708333333333336,101.02,percent
round_06,scenario_5_k8s_baseline,606.1333333333333,997.0,millicores
round_06,scenario_5_mesh,350.1607142857143,999.0,millicores
round_07,scenario_1,68.39777777777779,102.58,percent
round_07,scenario_2,61.83407407407407,102.14,percent
round_07,scenario_3,64.71833333333333,101.46,percent
round_07,scenario_4,59.961296296296304,101.1,percent
round_07,scenario_5_k8s_baseline,623.3555555555556,997.0,millicores
round_07,scenario_5_mesh,348.67045454545456,1001.0,millicores
round_08,scenario_1,66.67888888888889,101.34,percent
round_08,scenario_2,62.98481481481481,102.36,percent
round_08,scenario_3,66.19796296296296,102.26,percent
round_08,scenario_4,60.261481481481496,101.89,percent
round_08,scenario_5_k8s_baseline,605.6022727272727,998.0,millicores
round_08,scenario_5_mesh,344.5681818181818,1001.0,millicores
round_09,scenario_1,68.53129629629632,102.62,percent
round_09,scenario_2,60.86981481481481,102.34,percent
round_09,scenario_3,66.31833333333333,103.22,percent
round_09,scenario_4,60.05222222222222,101.51,percent
round_09,scenario_5_k8s_baseline,650.6190476190476,999.0,millicores
round_09,scenario_5_mesh,343.53409090909093,1002.0,millicores
round_10,scenario_1,68.84666666666668,106.04,percent
round_10,scenario_2,62.44166666666666,102.96,percent
round_10,scenario_3,66.06888888888889,102.12,percent
round_10,scenario_4,60.42259259259259,101.46,percent
round_10,scenario_5_k8s_baseline,619.7555555555556,997.0,millicores
round_10,scenario_5_mesh,341.1306818181818,1001.0,millicores
