round,scenario,label,requests,failures,throughput_rps,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
round_01,scenario_1,C1 — HTTP sem proteção,47610.0,0.0,396.1126258360868,203.5612643350546,190.0,360.0,460.0
round_01,scenario_2,C2 — HTTP + JWT RS256,22251.0,0.0,185.2707686996663,778.6870812963485,760.0,1100.0,1200.0
round_01,scenario_3,C3 — mTLS na aplicação,43747.0,0.0,364.05572359420927,248.843044295728,240.0,410.0,470.0
round_01,scenario_4,C4 — mTLS + JWT na aplicação,21335.0,0.0,177.505086980918,824.7343491576313,820.0,1100.0,1200.0
round_01,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47226.0,0.0,392.8474411529637,208.5133168764144,210.0,290.0,320.0
round_01,scenario_5_mesh,C5b — Kubernetes + Istio,22588.0,1.0,187.9486696915086,762.5985236160044,780.0,1000.0,1100.0
round_02,scenario_1,C1 — HTTP sem proteção,48416.0,0.0,402.8019539631793,194.7591881503002,180.0,360.0,410.0
round_02,scenario_2,C2 — HTTP + JWT RS256,22131.0,0.0,184.21813562696175,779.0746380357438,760.0,1100.0,1400.0
round_02,scenario_3,C3 — mTLS na aplicação,43707.0,0.0,363.51005049311294,249.2385842068232,240.0,480.0,550.0
round_02,scenario_4,C4 — mTLS + JWT na aplicação,21313.0,0.0,177.45187829253106,826.195335137365,800.0,1100.0,1200.0
round_02,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47439.0,0.0,394.5631676052224,205.2511091563026,210.0,340.0,370.0
round_02,scenario_5_mesh,C5b — Kubernetes + Istio,22512.0,0.0,187.3388742395344,765.5338687830874,770.0,920.0,980.0
round_03,scenario_1,C1 — HTTP sem proteção,47736.0,0.0,397.1374846370507,201.83688530145915,190.0,360.0,450.0
round_03,scenario_2,C2 — HTTP + JWT RS256,22384.0,0.0,186.34454579538252,774.0487427801024,760.0,1100.0,1200.0
round_03,scenario_3,C3 — mTLS na aplicação,43528.0,0.0,362.18835377587845,251.1071947470234,240.0,420.0,480.0
round_03,scenario_4,C4 — mTLS + JWT na aplicação,21427.0,0.0,178.34137591097968,821.9946487283798,830.0,1200.0,1300.0
round_03,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47287.0,0.0,393.40913805857457,207.25674509910132,210.0,290.0,320.0
round_03,scenario_5_mesh,C5b — Kubernetes + Istio,22210.0,1.0,184.8723495762381,780.7566624503198,820.0,1100.0,1200.0
round_04,scenario_1,C1 — HTTP sem proteção,47530.0,0.0,395.2697451489788,205.99743186586213,190.0,360.0,640.0
round_04,scenario_2,C2 — HTTP + JWT RS256,22318.0,0.0,185.76717282631765,777.4083735309075,740.0,1100.0,1300.0
round_04,scenario_3,C3 — mTLS na aplicação,44000.0,0.0,365.96343420208734,245.1796678571909,240.0,420.0,490.0
round_04,scenario_4,C4 — mTLS + JWT na aplicação,21398.0,0.0,178.09493494046498,820.9677402354399,780.0,1200.0,1400.0
round_04,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47630.0,0.0,396.2584276251127,203.8676818207321,200.0,280.0,310.0
round_04,scenario_5_mesh,C5b — Kubernetes + Istio,22588.0,1.0,187.99933094808583,761.7948883832574,760.0,900.0,980.0
round_05,scenario_1,C1 — HTTP sem proteção,46990.0,0.0,390.7907296225828,209.05832859372535,190.0,370.0,740.0
round_05,scenario_2,C2 — HTTP + JWT RS256,22087.0,0.0,183.7841861848173,785.2925485218432,780.0,1200.0,1400.0
round_05,scenario_3,C3 — mTLS na aplicação,43703.0,0.0,363.5095196568083,249.6288580774864,240.0,410.0,470.0
round_05,scenario_4,C4 — mTLS + JWT na aplicação,21476.0,0.0,178.70474656325132,818.1712998509581,810.0,1200.0,1300.0
round_05,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47336.0,0.0,393.6305111561941,206.0018784673588,180.0,380.0,430.0
round_05,scenario_5_mesh,C5b — Kubernetes + Istio,22583.0,0.0,187.97209533434383,763.2858707322607,710.0,1100.0,1200.0
round_06,scenario_1,C1 — HTTP sem proteção,47083.0,0.0,391.45381918514937,209.31765678265344,180.0,400.0,800.0
round_06,scenario_2,C2 — HTTP + JWT RS256,22396.0,0.0,186.42833814075465,771.3215816029536,680.0,1400.0,1500.0
round_06,scenario_3,C3 — mTLS na aplicação,44069.0,0.0,366.4514759371486,244.47568082786725,230.0,450.0,530.0
round_06,scenario_4,C4 — mTLS + JWT na aplicação,21338.0,0.0,177.58199584436417,824.6221632087363,820.0,1100.0,1200.0
round_06,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,46938.0,0.0,390.4910220080789,211.2701012772622,210.0,300.0,330.0
round_06,scenario_5_mesh,C5b — Kubernetes + Istio,21470.0,2.0,178.63060017442743,816.421745677645,810.0,1300.0,1900.0
round_07,scenario_1,C1 — HTTP sem proteção,47348.0,0.0,393.80815658834393,206.2390320878997,180.0,360.0,720.0
round_07,scenario_2,C2 — HTTP + JWT RS256,22247.0,0.0,185.1308224580218,777.6891171945867,770.0,1100.0,1200.0
round_07,scenario_3,C3 — mTLS na aplicação,44152.0,0.0,367.35013427685726,242.79945101123704,240.0,440.0,500.0
round_07,scenario_4,C4 — mTLS + JWT na aplicação,21393.0,0.0,178.09485727108293,824.1774026835308,770.0,1400.0,1500.0
round_07,scenario_5_k8s_baseline,C5a — Kubernetes sem malha,47147.0,0.0,392.2481288133124,209.75699726531116,210.0,290.0,320.0
round_07,scenario_5_mesh,C5b — Kubernetes + Istio,22553.0,4.0,187.6874958510507,764.0106176976947,760.0,1100.0,1100.0
round_08,scenario_1,C1 — HTTP sem proteção,48171.0,0.0,400.5961957582872,197.54772690529185,190.0,370.0,430.0
round_08,scenario_2,C2 — HTTP + JWT RS256,22400.0,0.0,186.4643600160813,772.9671480456128,770.0,1300.0,1400.0
