round,position,configuration,started_at
1,1,scenario_1,2026-09-24T01:31:59-03:00
1,2,scenario_3,2026-09-24T01:34:43-03:00
1,3,scenario_4,2026-09-24T01:37:28-03:00
1,4,scenario_2,2026-09-24T01:40:14-03:00
1,5,k8s_mesh,2026-09-24T01:43:00-03:00
1,6,k8s_baseline,2026-09-24T01:51:53-03:00
2,1,k8s_mesh,2026-09-24T01:55:54-03:00
2,2,scenario_4,2026-09-24T02:00:35-03:00
2,3,scenario_3,2026-09-24T02:03:21-03:00
2,4,k8s_baseline,2026-09-24T02:06:08-03:00
2,5,scenario_2,2026-09-24T02:10:14-03:00
2,6,scenario_1,2026-09-24T02:13:01-03:00
3,1,k8s_mesh,2026-09-24T02:15:47-03:00
3,2,scenario_1,2026-09-24T02:20:11-03:00
3,3,scenario_4,2026-09-24T02:22:56-03:00
3,4,k8s_baseline,2026-09-24T02:25:44-03:00
3,5,scenario_2,2026-09-24T02:29:40-03:00
3,6,scenario_3,2026-09-24T02:32:24-03:00
4,1,scenario_2,2026-09-24T02:35:10-03:00
4,2,k8s_mesh,2026-09-24T02:37:55-03:00
4,3,k8s_baseline,2026-09-24T02:42:37-03:00
4,4,scenario_1,2026-09-24T02:46:39-03:00
4,5,scenario_4,2026-09-24T02:49:25-03:00
4,6,scenario_3,2026-09-24T02:52:11-03:00
5,1,k8s_baseline,2026-09-24T02:54:57-03:00
5,2,scenario_1,2026-09-24T02:58:59-03:00
5,3,scenario_2,2026-09-24T03:01:45-03:00
5,4,scenario_3,2026-09-24T03:04:31-03:00
5,5,scenario_4,2026-09-24T03:07:16-03:00
5,6,k8s_mesh,2026-09-24T03:10:02-03:00
6,1,k8s_mesh,2026-09-24T03:14:45-03:00
6,2,scenario_1,2026-09-24T03:19:24-03:00
6,3,scenario_2,2026-09-24T03:22:10-03:00
6,4,scenario_3,2026-09-24T03:24:57-03:00
6,5,k8s_baseline,2026-09-24T03:27:45-03:00
6,6,scenario_4,2026-09-24T03:31:51-03:00
7,1,scenario_1,2026-09-24T03:34:36-03:00
7,2,scenario_2,2026-09-24T03:37:22-03:00
7,3,scenario_3,2026-09-24T03:40:08-03:00
7,4,k8s_baseline,2026-09-24T03:42:55-03:00
7,5,scenario_4,2026-09-24T03:46:54-03:00
7,6,k8s_mesh,2026-09-24T03:49:41-03:00
8,1,k8s_baseline,2026-09-24T03:54:33-03:00
8,2,k8s_mesh,2026-09-24T03:58:35-03:00
8,3,scenario_4,2026-09-24T04:02:59-03:00
8,4,scenario_1,2026-09-24T04:05:45-03:00
8,5,scenario_3,2026-09-24T04:08:30-03:00
8,6,scenario_2,2026-09-24T04:11:18-03:00
9,1,k8s_mesh,2026-09-24T04:14:03-03:00
9,2,scenario_3,2026-09-24T04:18:56-03:00
9,3,scenario_4,2026-09-24T04:21:42-03:00
9,4,scenario_2,2026-09-24T04:24:28-03:00
9,5,scenario_1,2026-09-24T04:27:15-03:00
9,6,k8s_baseline,2026-09-24T04:30:02-03:00
10,1,scenario_2,2026-09-24T04:34:01-03:00
10,2,scenario_3,2026-09-24T04:36:46-03:00
10,3,k8s_baseline,2026-09-24T04:39:32-03:00
10,4,scenario_4,2026-09-24T04:43:34-03:00
10,5,scenario_1,2026-09-24T04:46:19-03:00
10,6,k8s_mesh,2026-09-24T04:49:04-03:00
