timestamp,pod,container,cpu_millicores,mem_mib
2026-09-24T02:07:58-03:00,service-a-79689f88cb-jhdgb,service-a,630,117
2026-09-24T02:07:58-03:00,service-b-b9d464c6d-gpckh,service-b,216,99
2026-09-24T02:08:01-03:00,service-a-79689f88cb-jhdgb,service-a,630,117
2026-09-24T02:08:01-03:00,service-b-b9d464c6d-gpckh,service-b,216,99
2026-09-24T02:08:05-03:00,service-a-79689f88cb-jhdgb,service-a,630,117
2026-09-24T02:08:05-03:00,service-b-b9d464c6d-gpckh,service-b,216,99
2026-09-24T02:08:08-03:00,service-a-79689f88cb-jhdgb,service-a,630,117
2026-09-24T02:08:08-03:00,service-b-b9d464c6d-gpckh,service-b,216,99
2026-09-24T02:08:11-03:00,service-a-79689f88cb-jhdgb,service-a,630,117
2026-09-24T02:08:11-03:00,service-b-b9d464c6d-gpckh,service-b,216,99
2026-09-24T02:08:14-03:00,service-a-79689f88cb-jhdgb,service-a,726,122
2026-09-24T02:08:14-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:17-03:00,service-a-79689f88cb-jhdgb,service-a,726,122
2026-09-24T02:08:17-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:20-03:00,service-a-79689f88cb-jhdgb,service-a,726,122
2026-09-24T02:08:20-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:23-03:00,service-a-79689f88cb-jhdgb,service-a,726,122
2026-09-24T02:08:23-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:26-03:00,service-a-79689f88cb-jhdgb,service-a,998,123
2026-09-24T02:08:26-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:29-03:00,service-a-79689f88cb-jhdgb,service-a,998,123
2026-09-24T02:08:29-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:32-03:00,service-a-79689f88cb-jhdgb,service-a,998,123
2026-09-24T02:08:32-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:35-03:00,service-a-79689f88cb-jhdgb,service-a,998,123
2026-09-24T02:08:35-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:38-03:00,service-a-79689f88cb-jhdgb,service-a,998,123
2026-09-24T02:08:38-03:00,service-b-b9d464c6d-gpckh,service-b,254,99
2026-09-24T02:08:41-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:08:41-03:00,service-b-b9d464c6d-gpckh,service-b,348,103
2026-09-24T02:08:44-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:08:44-03:00,service-b-b9d464c6d-gpckh,service-b,348,103
2026-09-24T02:08:47-03:00,service-a-79689f88cb-jhdgb,service-a,995,123
2026-09-24T02:08:47-03:00,service-b-b9d464c6d-gpckh,service-b,348,103
