timestamp,container,cpu_percent,memory_usage,memory_limit,memory_percent
2026-09-24T03:47:18-03:00,scenario_4-service_a-1,65.59%,120.7MiB,256MiB,47.14%
2026-09-24T03:47:18-03:00,scenario_4-service_b-1,11.08%,112.9MiB,256MiB,44.12%
2026-09-24T03:47:23-03:00,scenario_4-service_a-1,101.10%,121.4MiB,256MiB,47.41%
2026-09-24T03:47:23-03:00,scenario_4-service_b-1,31.31%,113.6MiB,256MiB,44.36%
2026-09-24T03:47:28-03:00,scenario_4-service_a-1,100.25%,121.9MiB,256MiB,47.62%
2026-09-24T03:47:28-03:00,scenario_4-service_b-1,34.24%,113.3MiB,256MiB,44.27%
2026-09-24T03:47:33-03:00,scenario_4-service_a-1,100.32%,130.6MiB,256MiB,51.03%
2026-09-24T03:47:33-03:00,scenario_4-service_b-1,22.67%,113.2MiB,256MiB,44.24%
2026-09-24T03:47:38-03:00,scenario_4-service_a-1,100.28%,133.7MiB,256MiB,52.23%
2026-09-24T03:47:38-03:00,scenario_4-service_b-1,21.00%,113.2MiB,256MiB,44.24%
2026-09-24T03:47:44-03:00,scenario_4-service_a-1,99.91%,136.4MiB,256MiB,53.29%
2026-09-24T03:47:44-03:00,scenario_4-service_b-1,28.54%,114.6MiB,256MiB,44.75%
2026-09-24T03:47:49-03:00,scenario_4-service_a-1,100.18%,125.8MiB,256MiB,49.13%
2026-09-24T03:47:49-03:00,scenario_4-service_b-1,16.61%,114.7MiB,256MiB,44.80%
2026-09-24T03:47:54-03:00,scenario_4-service_a-1,99.83%,127.2MiB,256MiB,49.68%
2026-09-24T03:47:54-03:00,scenario_4-service_b-1,30.32%,114.8MiB,256MiB,44.83%
2026-09-24T03:47:59-03:00,scenario_4-service_a-1,100.01%,126.9MiB,256MiB,49.59%
2026-09-24T03:47:59-03:00,scenario_4-service_b-1,21.42%,114.7MiB,256MiB,44.81%
2026-09-24T03:48:04-03:00,scenario_4-service_a-1,100.55%,136.4MiB,256MiB,53.29%
2026-09-24T03:48:04-03:00,scenario_4-service_b-1,21.01%,114.6MiB,256MiB,44.75%
2026-09-24T03:48:09-03:00,scenario_4-service_a-1,100.42%,136.2MiB,256MiB,53.22%
2026-09-24T03:48:09-03:00,scenario_4-service_b-1,16.55%,115.1MiB,256MiB,44.97%
2026-09-24T03:48:14-03:00,scenario_4-service_a-1,100.94%,127.1MiB,256MiB,49.65%
2026-09-24T03:48:14-03:00,scenario_4-service_b-1,16.82%,114.8MiB,256MiB,44.86%
2026-09-24T03:48:19-03:00,scenario_4-service_a-1,99.94%,127.8MiB,256MiB,49.90%
2026-09-24T03:48:19-03:00,scenario_4-service_b-1,30.06%,115.6MiB,256MiB,45.17%
2026-09-24T03:48:24-03:00,scenario_4-service_a-1,100.87%,127.4MiB,256MiB,49.76%
2026-09-24T03:48:24-03:00,scenario_4-service_b-1,27.42%,115MiB,256MiB,44.92%
2026-09-24T03:48:29-03:00,scenario_4-service_a-1,100.44%,127.4MiB,256MiB,49.78%
2026-09-24T03:48:29-03:00,scenario_4-service_b-1,21.01%,114.7MiB,256MiB,44.82%
2026-09-24T03:48:34-03:00,scenario_4-service_a-1,100.82%,135.8MiB,256MiB,53.06%
2026-09-24T03:48:34-03:00,scenario_4-service_b-1,32.30%,115MiB,256MiB,44.91%
2026-09-24T03:48:40-03:00,scenario_4-service_a-1,100.27%,140.3MiB,256MiB,54.79%
2026-09-24T03:48:40-03:00,scenario_4-service_b-1,20.00%,114.7MiB,256MiB,44.81%
2026-09-24T03:48:45-03:00,scenario_4-service_a-1,100.71%,140.7MiB,256MiB,54.94%
2026-09-24T03:48:45-03:00,scenario_4-service_b-1,26.59%,115.3MiB,256MiB,45.04%
2026-09-24T03:48:50-03:00,scenario_4-service_a-1,99.96%,140.4MiB,256MiB,54.86%
2026-09-24T03:48:50-03:00,scenario_4-service_b-1,25.17%,116.5MiB,256MiB,45.51%
2026-09-24T03:48:55-03:00,scenario_4-service_a-1,99.47%,126.9MiB,256MiB,49.57%
2026-09-24T03:48:55-03:00,scenario_4-service_b-1,18.23%,118MiB,256MiB,46.08%
2026-09-24T03:49:00-03:00,scenario_4-service_a-1,100.21%,127.2MiB,256MiB,49.70%
2026-09-24T03:49:00-03:00,scenario_4-service_b-1,29.41%,117.7MiB,256MiB,45.98%
2026-09-24T03:49:05-03:00,scenario_4-service_a-1,99.51%,128MiB,256MiB,49.98%
2026-09-24T03:49:05-03:00,scenario_4-service_b-1,32.74%,118.1MiB,256MiB,46.12%
2026-09-24T03:49:10-03:00,scenario_4-service_a-1,100.81%,127MiB,256MiB,49.62%
2026-09-24T03:49:10-03:00,scenario_4-service_b-1,31.60%,118.1MiB,256MiB,46.12%
2026-09-24T03:49:15-03:00,scenario_4-service_a-1,100.34%,136.9MiB,256MiB,53.46%
2026-09-24T03:49:15-03:00,scenario_4-service_b-1,32.24%,118.1MiB,256MiB,46.11%
2026-09-24T03:49:20-03:00,scenario_4-service_a-1,100.11%,140.3MiB,256MiB,54.81%
2026-09-24T03:49:20-03:00,scenario_4-service_b-1,17.65%,117.9MiB,256MiB,46.06%
2026-09-24T03:49:25-03:00,scenario_4-service_a-1,100.34%,140.2MiB,256MiB,54.78%
2026-09-24T03:49:25-03:00,scenario_4-service_b-1,26.86%,117.8MiB,256MiB,46.01%
2026-09-24T03:49:30-03:00,scenario_4-service_a-1,21.84%,126.3MiB,256MiB,49.35%
2026-09-24T03:49:30-03:00,scenario_4-service_b-1,0.04%,117.4MiB,256MiB,45.87%
