timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T03:56:21-03:00,9.7,1.34,3784,61.0
2026-09-24T03:56:23-03:00,12.5,1.34,3710,64.0
2026-09-24T03:56:26-03:00,18.3,1.34,3707,65.0
2026-09-24T03:56:28-03:00,24.8,1.31,3700,72.0
2026-09-24T03:56:30-03:00,27.1,1.31,3700,73.0
2026-09-24T03:56:32-03:00,28.6,1.21,3894,68.0
2026-09-24T03:56:34-03:00,25.6,1.21,3416,66.0
2026-09-24T03:56:36-03:00,25.5,1.21,3895,67.0
2026-09-24T03:56:38-03:00,24.4,1.19,3836,68.0
2026-09-24T03:56:40-03:00,26.0,1.19,3845,68.0
2026-09-24T03:56:42-03:00,25.7,1.09,3829,68.0
2026-09-24T03:56:44-03:00,24.7,1.09,3700,74.0
2026-09-24T03:56:46-03:00,25.9,1.09,3716,70.0
2026-09-24T03:56:48-03:00,26.4,1.17,3810,70.0
2026-09-24T03:56:50-03:00,25.3,1.17,3795,69.0
2026-09-24T03:56:52-03:00,26.0,1.79,3814,69.0
2026-09-24T03:56:54-03:00,25.2,1.79,3700,71.0
2026-09-24T03:56:56-03:00,24.5,1.79,3774,70.0
2026-09-24T03:56:58-03:00,25.5,2.77,3801,68.0
2026-09-24T03:57:00-03:00,26.0,2.77,3718,71.0
2026-09-24T03:57:02-03:00,25.1,3.19,3700,75.0
2026-09-24T03:57:04-03:00,26.0,3.19,3794,73.0
2026-09-24T03:57:06-03:00,25.8,3.19,3736,72.0
2026-09-24T03:57:08-03:00,24.6,3.66,3785,70.0
2026-09-24T03:57:10-03:00,25.7,3.66,3427,69.0
2026-09-24T03:57:12-03:00,25.7,4.40,3361,69.0
2026-09-24T03:57:14-03:00,24.6,4.40,3681,70.0
2026-09-24T03:57:16-03:00,25.3,4.40,3799,70.0
2026-09-24T03:57:18-03:00,25.2,5.25,3700,74.0
2026-09-24T03:57:20-03:00,26.1,5.25,3700,74.0
2026-09-24T03:57:22-03:00,26.0,5.63,3813,73.0
2026-09-24T03:57:24-03:00,25.9,5.63,3728,74.0
2026-09-24T03:57:26-03:00,24.2,5.63,3762,71.0
2026-09-24T03:57:28-03:00,25.8,6.38,3740,70.0
2026-09-24T03:57:30-03:00,25.5,6.38,3457,70.0
2026-09-24T03:57:32-03:00,25.5,6.99,3223,70.0
2026-09-24T03:57:34-03:00,25.6,6.99,3700,73.0
2026-09-24T03:57:36-03:00,25.5,6.99,3700,77.0
2026-09-24T03:57:38-03:00,26.5,7.23,3740,74.0
2026-09-24T03:57:40-03:00,25.6,7.23,3786,72.0
2026-09-24T03:57:42-03:00,24.7,7.62,3359,70.0
2026-09-24T03:57:44-03:00,25.5,7.62,3747,71.0
2026-09-24T03:57:46-03:00,25.8,7.62,3736,71.0
2026-09-24T03:57:48-03:00,24.9,8.13,3775,69.0
2026-09-24T03:57:50-03:00,25.8,8.13,3711,71.0
2026-09-24T03:57:52-03:00,26.7,8.76,3700,77.0
2026-09-24T03:57:54-03:00,25.2,8.76,3755,73.0
2026-09-24T03:57:56-03:00,25.3,8.76,3784,69.0
2026-09-24T03:57:58-03:00,26.2,8.62,3792,75.0
2026-09-24T03:58:00-03:00,25.0,8.62,3744,72.0
2026-09-24T03:58:02-03:00,25.0,9.29,3795,70.0
2026-09-24T03:58:04-03:00,25.9,9.29,3773,70.0
2026-09-24T03:58:06-03:00,24.9,9.29,3796,73.0
2026-09-24T03:58:08-03:00,25.9,9.59,3700,77.0
2026-09-24T03:58:10-03:00,26.0,9.59,3858,75.0
2026-09-24T03:58:12-03:00,24.4,9.62,3778,70.0
2026-09-24T03:58:14-03:00,25.3,9.62,3364,70.0
2026-09-24T03:58:16-03:00,25.4,9.62,3765,69.0
2026-09-24T03:58:18-03:00,24.3,9.57,3769,71.0
2026-09-24T03:58:20-03:00,26.1,9.57,3824,71.0
2026-09-24T03:58:22-03:00,25.5,10.33,3723,73.0
2026-09-24T03:58:24-03:00,25.3,10.33,3700,75.0
2026-09-24T03:58:26-03:00,25.9,10.33,3810,73.0
2026-09-24T03:58:28-03:00,26.1,10.46,3787,76.0
2026-09-24T03:58:30-03:00,25.3,10.46,3701,72.0
2026-09-24T03:58:32-03:00,1.9,9.62,3455,63.0
