timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T04:16:42-03:00,18.2,1.26,3700,64.0
2026-09-24T04:16:44-03:00,21.4,1.26,3716,63.0
2026-09-24T04:16:46-03:00,23.8,1.26,3832,64.0
2026-09-24T04:16:48-03:00,23.8,1.40,3811,64.0
2026-09-24T04:16:50-03:00,25.4,1.40,3700,77.0
2026-09-24T04:16:52-03:00,31.9,1.29,3700,73.0
2026-09-24T04:16:54-03:00,24.2,1.29,3796,69.0
2026-09-24T04:16:56-03:00,23.8,1.29,3843,66.0
2026-09-24T04:16:58-03:00,23.3,1.26,3580,65.0
2026-09-24T04:17:00-03:00,24.4,1.26,3838,65.0
2026-09-24T04:17:02-03:00,24.6,1.32,3831,66.0
2026-09-24T04:17:04-03:00,23.1,1.32,3593,66.0
2026-09-24T04:17:06-03:00,24.1,1.32,3700,70.0
2026-09-24T04:17:08-03:00,24.3,1.22,3700,74.0
2026-09-24T04:17:10-03:00,23.6,1.22,3794,69.0
2026-09-24T04:17:12-03:00,24.7,1.44,3803,66.0
2026-09-24T04:17:14-03:00,24.6,1.44,3828,65.0
2026-09-24T04:17:16-03:00,22.6,1.44,3839,67.0
2026-09-24T04:17:18-03:00,23.7,1.32,3700,66.0
2026-09-24T04:17:20-03:00,24.4,1.32,3855,65.0
2026-09-24T04:17:22-03:00,23.7,1.22,3876,68.0
2026-09-24T04:17:24-03:00,25.3,1.22,3700,74.0
2026-09-24T04:17:26-03:00,24.3,1.22,3826,71.0
2026-09-24T04:17:28-03:00,23.1,1.12,3777,68.0
2026-09-24T04:17:30-03:00,24.0,1.12,3774,68.0
2026-09-24T04:17:32-03:00,24.2,1.03,3809,68.0
2026-09-24T04:17:34-03:00,23.2,1.03,3812,66.0
2026-09-24T04:17:36-03:00,25.1,1.03,3772,67.0
2026-09-24T04:17:39-03:00,24.1,0.95,3801,68.0
2026-09-24T04:17:41-03:00,23.5,0.95,3700,74.0
2026-09-24T04:17:43-03:00,25.1,0.87,3700,77.0
2026-09-24T04:17:45-03:00,24.0,0.87,3725,74.0
2026-09-24T04:17:47-03:00,23.8,0.87,3649,68.0
2026-09-24T04:17:49-03:00,23.7,0.80,3843,66.0
2026-09-24T04:17:51-03:00,23.0,0.80,3509,68.0
2026-09-24T04:17:53-03:00,24.1,0.74,3822,66.0
2026-09-24T04:17:55-03:00,24.5,0.74,3795,69.0
2026-09-24T04:17:57-03:00,23.4,0.74,3700,72.0
2026-09-24T04:17:59-03:00,24.3,0.68,3700,76.0
2026-09-24T04:18:01-03:00,24.7,0.68,3700,71.0
2026-09-24T04:18:03-03:00,23.4,0.70,3764,68.0
2026-09-24T04:18:05-03:00,23.7,0.70,3776,67.0
2026-09-24T04:18:07-03:00,23.8,0.65,3817,68.0
2026-09-24T04:18:09-03:00,22.8,0.65,3493,67.0
2026-09-24T04:18:11-03:00,24.4,0.65,3821,70.0
2026-09-24T04:18:13-03:00,24.3,0.59,3795,69.0
2026-09-24T04:18:15-03:00,23.7,0.59,3700,76.0
2026-09-24T04:18:17-03:00,24.5,0.55,3737,73.0
2026-09-24T04:18:19-03:00,24.3,0.55,3870,68.0
2026-09-24T04:18:21-03:00,23.4,0.55,3526,68.0
2026-09-24T04:18:23-03:00,24.2,0.66,3796,68.0
2026-09-24T04:18:25-03:00,24.3,0.66,3816,67.0
2026-09-24T04:18:27-03:00,23.5,0.61,3826,68.0
2026-09-24T04:18:29-03:00,24.4,0.61,3399,67.0
2026-09-24T04:18:31-03:00,24.4,0.61,3700,76.0
2026-09-24T04:18:33-03:00,24.2,0.64,3700,73.0
2026-09-24T04:18:35-03:00,24.0,0.64,3459,69.0
2026-09-24T04:18:37-03:00,23.8,0.59,3847,68.0
2026-09-24T04:18:39-03:00,22.9,0.59,3733,68.0
2026-09-24T04:18:41-03:00,24.9,0.59,3780,68.0
2026-09-24T04:18:43-03:00,24.4,0.62,3785,70.0
2026-09-24T04:18:45-03:00,23.0,0.62,3510,68.0
2026-09-24T04:18:47-03:00,24.0,0.57,3700,74.0
2026-09-24T04:18:49-03:00,24.4,0.57,3700,80.0
2026-09-24T04:18:51-03:00,27.4,0.57,3699,78.0
2026-09-24T04:18:53-03:00,8.8,0.53,2909,65.0
