timestamp,cpu_busy_percent,load1,cpu_mhz_mean,temp_max_c
2026-09-24T04:34:24-03:00,20.7,3.97,1800,78.0
2026-09-24T04:34:26-03:00,22.5,3.97,3700,67.0
2026-09-24T04:34:28-03:00,21.8,4.45,2984,68.0
2026-09-24T04:34:30-03:00,20.7,4.45,3807,67.0
2026-09-24T04:34:32-03:00,21.3,4.45,3700,71.0
2026-09-24T04:34:34-03:00,22.3,4.98,3767,67.0
2026-09-24T04:34:36-03:00,21.3,4.98,3017,67.0
2026-09-24T04:34:38-03:00,19.7,5.38,3700,80.0
2026-09-24T04:34:40-03:00,20.9,5.38,3700,74.0
2026-09-24T04:34:42-03:00,19.9,5.38,3806,67.0
2026-09-24T04:34:44-03:00,21.4,5.59,3787,71.0
2026-09-24T04:34:46-03:00,20.8,5.59,3722,72.0
2026-09-24T04:34:48-03:00,21.0,5.54,2978,66.0
2026-09-24T04:34:50-03:00,20.8,5.54,2542,65.0
2026-09-24T04:34:52-03:00,20.2,5.54,3890,65.0
2026-09-24T04:34:54-03:00,21.0,5.50,3700,80.0
2026-09-24T04:34:56-03:00,19.8,5.50,3700,74.0
2026-09-24T04:34:58-03:00,21.5,5.70,3820,70.0
2026-09-24T04:35:00-03:00,20.4,5.70,3807,66.0
2026-09-24T04:35:02-03:00,21.8,5.70,3399,78.0
2026-09-24T04:35:04-03:00,21.2,5.64,2389,74.0
2026-09-24T04:35:06-03:00,20.9,5.64,3838,66.0
2026-09-24T04:35:08-03:00,21.2,5.75,3432,65.0
2026-09-24T04:35:10-03:00,21.6,5.75,3700,82.0
2026-09-24T04:35:12-03:00,19.8,5.75,3700,71.0
2026-09-24T04:35:14-03:00,20.7,6.01,3869,69.0
2026-09-24T04:35:16-03:00,21.3,6.01,3741,67.0
2026-09-24T04:35:18-03:00,20.8,5.93,3250,66.0
2026-09-24T04:35:20-03:00,21.2,5.93,3035,70.0
2026-09-24T04:35:22-03:00,20.2,5.93,2486,73.0
2026-09-24T04:35:24-03:00,21.2,5.78,2457,69.0
2026-09-24T04:35:26-03:00,21.0,5.78,3700,73.0
2026-09-24T04:35:28-03:00,19.9,5.95,3700,78.0
2026-09-24T04:35:30-03:00,21.3,5.95,3402,69.0
2026-09-24T04:35:32-03:00,20.2,6.04,3842,68.0
2026-09-24T04:35:34-03:00,21.2,6.04,2987,66.0
2026-09-24T04:35:36-03:00,19.9,6.04,3850,66.0
2026-09-24T04:35:38-03:00,21.3,5.88,3801,67.0
2026-09-24T04:35:40-03:00,20.1,5.88,3744,72.0
2026-09-24T04:35:42-03:00,20.8,5.89,3363,72.0
2026-09-24T04:35:44-03:00,20.5,5.89,3700,79.0
2026-09-24T04:35:46-03:00,20.4,5.89,3746,74.0
2026-09-24T04:35:48-03:00,20.7,5.65,3865,68.0
2026-09-24T04:35:51-03:00,20.5,5.65,3137,66.0
2026-09-24T04:35:53-03:00,21.4,5.44,3005,66.0
2026-09-24T04:35:55-03:00,20.9,5.44,3349,66.0
2026-09-24T04:35:57-03:00,21.5,5.44,3335,67.0
2026-09-24T04:35:59-03:00,19.6,5.01,3399,68.0
2026-09-24T04:36:01-03:00,21.0,5.01,3700,81.0
2026-09-24T04:36:03-03:00,20.1,4.60,3700,75.0
2026-09-24T04:36:05-03:00,21.1,4.60,3830,70.0
2026-09-24T04:36:07-03:00,21.0,4.60,3863,67.0
2026-09-24T04:36:09-03:00,19.8,4.24,3435,67.0
2026-09-24T04:36:11-03:00,21.5,4.24,3478,67.0
2026-09-24T04:36:13-03:00,20.0,3.90,3834,65.0
2026-09-24T04:36:15-03:00,21.2,3.90,3384,66.0
2026-09-24T04:36:17-03:00,20.5,3.90,3700,84.0
2026-09-24T04:36:19-03:00,19.6,3.58,3700,74.0
2026-09-24T04:36:21-03:00,21.4,3.58,3810,71.0
2026-09-24T04:36:23-03:00,20.1,3.38,3793,70.0
2026-09-24T04:36:25-03:00,21.6,3.38,3781,67.0
2026-09-24T04:36:27-03:00,20.3,3.38,3392,67.0
2026-09-24T04:36:29-03:00,21.3,3.11,3471,66.0
2026-09-24T04:36:31-03:00,20.3,3.11,2600,66.0
2026-09-24T04:36:33-03:00,23.3,2.94,3744,73.0
2026-09-24T04:36:35-03:00,4.0,2.94,3765,64.0
2026-09-24T04:36:37-03:00,4.2,2.94,2160,64.0
