timestamp,pod,container,cpu_millicores,mem_mib
2026-09-24T04:51:39-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,97,39
2026-09-24T04:51:39-03:00,service-a-566b9cc9dc-rcpr9,service-a,534,117
2026-09-24T04:51:39-03:00,service-b-b9d464c6d-8mb5k,istio-proxy,55,29
2026-09-24T04:51:39-03:00,service-b-b9d464c6d-8mb5k,service-b,169,98
2026-09-24T04:51:42-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,97,39
2026-09-24T04:51:42-03:00,service-a-566b9cc9dc-rcpr9,service-a,534,117
2026-09-24T04:51:42-03:00,service-b-b9d464c6d-8mb5k,istio-proxy,55,29
2026-09-24T04:51:42-03:00,service-b-b9d464c6d-8mb5k,service-b,169,98
2026-09-24T04:51:45-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,97,39
2026-09-24T04:51:45-03:00,service-a-566b9cc9dc-rcpr9,service-a,534,117
2026-09-24T04:51:45-03:00,service-b-b9d464c6d-8mb5k,istio-proxy,55,29
2026-09-24T04:51:45-03:00,service-b-b9d464c6d-8mb5k,service-b,169,98
2026-09-24T04:51:48-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,97,39
2026-09-24T04:51:48-03:00,service-a-566b9cc9dc-rcpr9,service-a,534,117
2026-09-24T04:51:48-03:00,service-b-b9d464c6d-8mb5k,istio-proxy,55,29
2026-09-24T04:51:48-03:00,service-b-b9d464c6d-8mb5k,service-b,169,98
2026-09-24T04:51:51-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,148,41
2026-09-24T04:51:51-03:00,service-a-566b9cc9dc-rcpr9,service-a,924,118
2026-09-24T04:51:51-03:00,service-b-b9d464c6d-8mb5k,istio-proxy,101,30
2026-09-24T04:51:51-03:00,service-b-b9d464c6d-8mb5k,service-b,158,98
2026-09-24T04:51:54-03:00,service-a-566b9cc9dc-rcpr9,istio-proxy,148,41
2026-09-24T04:51:54-03:00,service-a-566b9cc9dc-rcpr9,service-a,924,118
