round,position,mode,started_at
1,1,mesh,2026-09-24T01:43:01-03:00
1,1,mesh,2026-09-24T01:47:18-03:00
1,1,baseline,2026-09-24T01:51:53-03:00
2,1,mesh,2026-09-24T01:55:56-03:00
2,1,baseline,2026-09-24T02:06:09-03:00
3,1,mesh,2026-09-24T02:15:47-03:00
3,1,baseline,2026-09-24T02:25:44-03:00
4,1,mesh,2026-09-24T02:37:57-03:00
4,1,baseline,2026-09-24T02:42:37-03:00
5,1,baseline,2026-09-24T02:54:59-03:00
5,1,mesh,2026-09-24T03:10:04-03:00
6,1,mesh,2026-09-24T03:14:45-03:00
6,1,baseline,2026-09-24T03:27:45-03:00
7,1,baseline,2026-09-24T03:42:56-03:00
7,1,mesh,2026-09-24T03:49:42-03:00
8,1,baseline,2026-09-24T03:54:34-03:00
8,1,mesh,2026-09-24T03:58:35-03:00
9,1,mesh,2026-09-24T04:14:04-03:00
9,1,baseline,2026-09-24T04:30:02-03:00
10,1,baseline,2026-09-24T04:39:34-03:00
10,1,mesh,2026-09-24T04:49:04-03:00
1,1,mesh,2026-09-24T04:54:13-03:00
