round,position,scenario,started_at
1,1,scenario_1,2026-09-24T01:31:59-03:00
1,1,scenario_3,2026-09-24T01:34:43-03:00
1,1,scenario_4,2026-09-24T01:37:29-03:00
1,1,scenario_2,2026-09-24T01:40:14-03:00
2,1,scenario_4,2026-09-24T02:00:35-03:00
2,1,scenario_3,2026-09-24T02:03:21-03:00
2,1,scenario_2,2026-09-24T02:10:14-03:00
2,1,scenario_1,2026-09-24T02:13:01-03:00
3,1,scenario_1,2026-09-24T02:20:11-03:00
3,1,scenario_4,2026-09-24T02:22:56-03:00
3,1,scenario_2,2026-09-24T02:29:40-03:00
3,1,scenario_3,2026-09-24T02:32:24-03:00
4,1,scenario_2,2026-09-24T02:35:10-03:00
4,1,scenario_1,2026-09-24T02:46:39-03:00
4,1,scenario_4,2026-09-24T02:49:25-03:00
4,1,scenario_3,2026-09-24T02:52:11-03:00
5,1,scenario_1,2026-09-24T02:58:59-03:00
5,1,scenario_2,2026-09-24T03:01:45-03:00
5,1,scenario_3,2026-09-24T03:04:31-03:00
5,1,scenario_4,2026-09-24T03:07:16-03:00
6,1,scenario_1,2026-09-24T03:19:24-03:00
6,1,scenario_2,2026-09-24T03:22:10-03:00
6,1,scenario_3,2026-09-24T03:24:57-03:00
6,1,scenario_4,2026-09-24T03:31:51-03:00
7,1,scenario_1,2026-09-24T03:34:37-03:00
7,1,scenario_2,2026-09-24T03:37:22-03:00
7,1,scenario_3,2026-09-24T03:40:08-03:00
7,1,scenario_4,2026-09-24T03:46:54-03:00
8,1,scenario_4,2026-09-24T04:02:59-03:00
8,1,scenario_1,2026-09-24T04:05:45-03:00
8,1,scenario_3,2026-09-24T04:08:30-03:00
8,1,scenario_2,2026-09-24T04:11:18-03:00
9,1,scenario_3,2026-09-24T04:18:56-03:00
9,1,scenario_4,2026-09-24T04:21:42-03:00
9,1,scenario_2,2026-09-24T04:24:28-03:00
9,1,scenario_1,2026-09-24T04:27:15-03:00
10,1,scenario_2,2026-09-24T04:34:01-03:00
10,1,scenario_3,2026-09-24T04:36:46-03:00
10,1,scenario_4,2026-09-24T04:43:34-03:00
10,1,scenario_1,2026-09-24T04:46:19-03:00
